product_id,sap_product_code,web_product_code,name
206,NULL,ZRC0069,Royal Canin Obesity Management Adult Dog Food 6 KG
206,NULL,ZRC0285,Royal Canin Obesity Management Adult Dog Food 13 KG
209,NULL,zrc0213,Royal Canin Satiety Support Weight Management Adult Dog Food 1.5 KG
209,NULL,zrc0043,Royal Canin Satiety Support Weight Management Adult Dog Food 12 KG
211,NULL,ZRC0175,Royal Canin Sensitivity Control  Adult Dog Food 1.5 KG
211,NULL,ZRC0038,Royal Canin Sensitivity Control  Adult Dog Food 14 KG
211,NULL,ZRC0107,Royal Canin Sensitivity Control  Adult Dog Food 7 KG
212,NULL,ZRC0153,Royal Canin Skin Care SK 23 Adult Dog Food 2 KG
212,NULL,ZRC0045,Royal Canin Skin Care SK 23 Adult Dog Food 12 KG
213,NULL,ZRC0154,Royal Canin Skin Care Small Adult Dog Food 2 KG
213,NULL,ZRC0072,Royal Canin Skin Care Small Adult Dog Food 4 KG
214,NULL,ZRC0152,Royal Canin Skin Care Junior Small SKJ 29 Dog Food 2 KG
215,NULL,ZRC0193,Royal Canin Skin Support SS 23 Adult Dog Food 2 KG
215,NULL,ZRC0109,Royal Canin Skin Support SS 23 Adult Dog Food 7 KG
216,NULL,ZRC0039,Royal Canin Weight Control DS 30 Adult Dog Food 14 KG
286,NULL,ZMM0025,Catnip Mice Chew Toys for Cats
287,NULL,ZMM0026,Catnip Chew Ring Toys for Cats
288,NULL,ZMM0027,Laser Fun Toy for Cats
289,NULL,ZMM0030,Cheese Chase Toy for Cats
290,NULL,ZMM0032,Orkakat Catnip Infused Mice Toys for Cats
291,NULL,ZMM0034,Orkakat Wiggle Worm Toy for Cats
292,NULL,ZMM0035,Easy Life Scratch Hammock for Cats
293,NULL,ZMM0039,Green Magic Mighty Mouse Toy for Cats
294,NULL,ZMM0041,Fresh Breath Mint Stick Toy for Cats
295,NULL,ZMM0042,"Scratch, Snuggle & Rest Cat Scratcher"
301,NULL,ZMM0002,Catnip Foil Bag 40G
311,NULL,,Nature's Gift Love Bites Cat Treats Seafood or Chicken Seafood
311,NULL,,Nature's Gift Love Bites Cat Treats Seafood or Chicken Chicken
339,NULL,ZKY0040,Milko-Pup Milk Replacer/Supplement For Puppies And Dogs
428,NULL,346400,Iams Adult Fish Multipack Combo Wet Cat Food
450,NULL,THU0030,SlimCat Interactive Cat Feeder Ball Green
450,NULL,ZGS0003,SlimCat Interactive Cat Feeder Ball Blue
450,NULL,THU0031,SlimCat Interactive Cat Feeder Ball Pink
450,NULL,ZGS0005,SlimCat Interactive Cat Feeder Ball Orange
467,NULL,ZRC0192,Royal Canin Renal Adult Dog Food 2 KG
467,NULL,ZRC0065,Royal Canin Renal Adult Dog Food 7 KG
468,NULL,ZRC0150,Royal Canin Dental Small Adult Dog Food 
527,NULL,ZVC0006,Vets Choice Large and Giant Breed Puppy Dog Food 1.8 KG
527,NULL,ZVC0008,Vets Choice Large and Giant Breed Puppy Dog Food 8 KG
527,NULL,ZVC0007,Vets Choice Large and Giant Breed Puppy Dog Food 20 KG
528,NULL,ZVC0005,Vets Choice Large and Giant Breed Adult Dog Food 8 KG
528,NULL,ZVC0004,Vets Choice Large and Giant Breed Adult Dog Food 20 KG
529,NULL,ZVC0020,Vets Choice All Breeds Adult Superior Dog Food 8 KG
529,NULL,ZVC0019,Vets Choice All Breeds Adult Superior Dog Food 20 KG
563,NULL,ZVC0009,Vets Choice All Breeds Adult Lite Dog Food 1.8 KG
563,NULL,ZVC0011,Vets Choice All Breeds Adult Lite Dog Food 8 KG
563,NULL,ZVC0010,Vets Choice All Breeds Adult Lite Dog Food 20 KG
583,NULL,ZHG0012 ,Catit Senses Super Circuit Cat Playstation
586,NULL,ZMA0057 ,Kong Buzzies Birds Toys for Cats  Pink
586,NULL,ZMA0081 ,Kong Buzzies Birds Toys for Cats  Green
586,NULL,ZMA0082 ,Kong Buzzies Birds Toys for Cats  Blue
603,NULL,ZMA0069,Scratch & Play 2-Tiered Cat Scratching Post
