id,name,slug
1012,Silvervine Plush Balls Cat Toy,silvervine-balls-cat-toy
1013,Silvervine Stuffed Animal Cat Toy,silvervine-stuffed-cat-toy
1014,Silvervine Seagrass Animal Cat Toy,silvervine-seagrass-cat-toy
1015,Silvervine Plush Mice Cat Toy,silvervine-mice-cat-toy
1016,Silvervine Twitchy Teaser Cat Wand,twitchy-teaser-cat-wand
1017,Grumpy Cat Plush Doorknob Hanger Cat Toy,plush-doorknob-cat-hanger
1018,Grumpy Cat Hair Ball Cat Toy,hair-ball-cat-toy
1019,Fluffy Grumpy Cat Toy ,fluffy-grumpy-cat-toy
1020,Grumpy Cat Blind Mouse Cat Toy,blind-mouse-cat-toy
1021,Grumpy Cat Annoying Plush Cat Wand Toy,annoying-plush-cat-wand
1022,Jolly Moggy Natural Catnip Mini Mice Cat Toys,catnip-mini-mice-cat-toys
1023,Jolly Moggy Natural Feather Teaser Cat Wand,feather-teaser-cat-wand
1024,Jolly Moggy Cat Tunnel Cat Toy,cat-tunnel-cat-toy
1025,Jolly Moggy Cheeky Mouse Cat Toy,cheeky-mouse-cat-toy
1026,Jolly Moggy Vibromouse Cat Toy,vibromouse-cat-toy
1027,Silvervine Teasin Tail Cat Wand Toy,teasing-tail-cat-wand
1028,Grumpy Cat Catfish Cat Wand,catfish-cat-wand
1032,Coriander Natural Cat Scratcher,coriander-natural-cat-scratcher
1033,Bamboo Cat Tower Cat Bed,cat-tower-cat-bed
1034,Bamboo Cat Pod & Bed,cat-pod-and-cat-bed
1064,Pawsecco Wine Gift Set For Dogs & Cats,pawsecco-gift-set-dog-cat-wine-treat
1065,Pawsecco Rose Wine For Dogs & Cats,pawsecco-wine-dog-cat-treat
1070,Crinkle Catnip Snowman For Cats,crinkle-catnip-snowman-cat-toy
1071,Crinkle Catnip Gingerbread For Cats,crinkle-catnip-gingerbread-cat-toy
1072,Grumpy Cat Christmas LED Lights Cat Wand,christmas-led-lights-cat-wand
1073,Grumpy Reindeer Ball Cat Toy,reindeer-ball-cat-toy
1118,3-in-1 Catit Circuit Ball with Scratcher Cat Toy,circuit-ball-with-scratcher-cat-toy
1119,3-in-1 Circuit Ball with Catnip Massager Cat Toy,circuit-ball-with-catnip-massager-cat-toy
1120,3-in-1 Catit Circuit Ball with Cat Grass Cat Toy,circuit-ball-with-cat-grass-cat-toy
1123,(Short Expiry) Royal Canin Anallergenic Adult Dog Food,short-expiry-anallergenic-dog-food
1142,Valley View Catnip ,valley-view-catnip
1176,Vigo Cat Scratcher,vigo-cat-scratcher
1177,Toronto Cat Scratcher,toronto-cat-scratcher
1183,(Short Expiry) Royal Canin Skin Care Small Adult Dog Food,short-expiry-skin-care-small-dog
1189,Whiskas Trio Crunchy Cat Treats,whiskas-trio-cat-treats
1190,Whiskas DentaBites Cat Treats,whiskers-denta-bites-cat-treats
1195,Maxhealth Puppy Junior Dog Food,maxhealth-puppy-junior-dog-food
1209,Ultra Dog Weight Control Dog Food,ultra-dog-weight-control-dog-food
1216,SuperWoof Adult Large Breed Dog Food - Chicken & Rice,superwoof-large-breed-chicken-and-rice-dog-food
1217,SuperWoof Adult Small & Medium Breed Dog Food  - Beef & Rice,superwoof-adult-small-and-medium-breed-dog-food-beef-and-rice
1218,SuperWoof Adult Large Breed Dog Food - Beef & Rice,superwoof-adult-large-breed-dog-food-beef-and-rice
1220,SuperWoof Adult Small & Medium Breed Dog Food - Turkey & Rice,superwoof-adult-small-and-medium-breed-dog-food-turkey-and-rice
1224,Paw Breakers Catnip Cat Treat and Toy,paw-breakers-cat-treat-and-toy
1226,Field & Forest Small Breed Puppy Food - Turkey & Duck,field-and-forest-small-breed-puppy-food
1227,Field & Forest Large Breed Puppy Food - Turkey & Duck,field-and-forest-large-breed-puppy-food
1228,Field & Forest Adult All Breed Dog Food - Game & Lamb,field-and-forest-game-and-lamb-dog-food
1229,Field & Forest Adult All Breed Dog Food - Salmon & Tuna,field-and-forest-salmon-and-tuna-dog-food
1230,Field & Forest Adult All Breed Dog Food - Turkey & Duck,field-and-forest-turkey-and-duck-dog-food
1247,Acana Singles Yorkshire Pork Dog Food,acana-singles-pork-dog-food
1248,Ultra Dog Joint Health Adult Dog Food,ultra-dog-joint-health-adult-dog-food
1249,Ultra Dog Hypo-Allergenic Dog Food,ultra-dog-hypo-allergenic-dog-food
1250,Ultra Dog Premium Adult Large Breed Dog Food,ultra-dog-premium-large-breed-adult-dog-food
1251,Ultra Dog Premium Large Breed Puppy Food,ultra-dog-premium-large-breed-puppy-food
1252,Ultra Dog Premium Small & Medium Breed Puppy Food,ultra-dog-premium-small-and-medium-breed-puppy-food
1253,Ultra Dog Premium Adult Small & Medium Breed Dog Food,ultra-dog-premium-small-and-medium-breed-adult-dog-food
